GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",23041,2272,(X),(X)
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",29913,679,(X),(X)
0500000US02180,02180,"Nome Census Area, Alaska",19804,768,(X),(X)
0500000US02185,02185,"North Slope Borough, Alaska",51085,3137,(X),(X)
0500000US02188,02188,"Northwest Arctic Borough, Alaska",21101,1158,(X),(X)
0500000US02195,02195,"Petersburg Borough, Alaska",34884,2634,(X),(X)
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",25205,1582,(X),(X)
0500000US02220,02220,"Sitka City and Borough, Alaska",33890,1875,(X),(X)
0500000US02230,02230,"Skagway Municipality, Alaska",38696,3940,(X),(X)
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",30079,2460,(X),(X)
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",33293,3006,(X),(X)
0500000US02275,02275,"Wrangell City and Borough, Alaska",30089,2339,(X),(X)
0500000US02282,02282,"Yakutat City and Borough, Alaska",33159,6378,(X),(X)
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",20698,760,(X),(X)
0500000US04001,04001,"Apache County, Arizona",13011,486,(X),(X)
0500000US04003,04003,"Cochise County, Arizona",23506,778,(X),(X)
0500000US04005,04005,"Coconino County, Arizona",24308,878,(X),(X)
0500000US04007,04007,"Gila County, Arizona",20583,850,(X),(X)
0500000US04009,04009,"Graham County, Arizona",17481,871,(X),(X)
0500000US04011,04011,"Greenlee County, Arizona",21994,1533,(X),(X)
0500000US04012,04012,"La Paz County, Arizona",20439,1449,(X),(X)
0500000US04013,04013,"Maricopa County, Arizona",27832,173,(X),(X)
0500000US04015,04015,"Mohave County, Arizona",20974,567,(X),(X)
0500000US04017,04017,"Navajo County, Arizona",16486,649,(X),(X)
0500000US04019,04019,"Pima County, Arizona",25729,261,(X),(X)
0500000US04021,04021,"Pinal County, Arizona",21130,421,(X),(X)
0500000US04023,04023,"Santa Cruz County, Arizona",17795,999,(X),(X)
0500000US04025,04025,"Yavapai County, Arizona",25418,509,(X),(X)
0500000US04027,04027,"Yuma County, Arizona",19102,504,(X),(X)
0500000US05001,05001,"Arkansas County, Arkansas",22473,1756,(X),(X)
0500000US05003,05003,"Ashley County, Arkansas",19891,1502,(X),(X)
0500000US05005,05005,"Baxter County, Arkansas",22475,1522,(X),(X)
0500000US05007,05007,"Benton County, Arkansas",27934,530,(X),(X)
0500000US05009,05009,"Boone County, Arkansas",21946,1014,(X),(X)
0500000US05011,05011,"Bradley County, Arkansas",20252,1928,(X),(X)
0500000US05013,05013,"Calhoun County, Arkansas",20537,1831,(X),(X)
0500000US05015,05015,"Carroll County, Arkansas",20195,1225,(X),(X)
0500000US05017,05017,"Chicot County, Arkansas",19053,2545,(X),(X)
0500000US05019,05019,"Clark County, Arkansas",19555,1106,(X),(X)
0500000US05021,05021,"Clay County, Arkansas",19166,1096,(X),(X)
0500000US05023,05023,"Cleburne County, Arkansas",24912,1725,(X),(X)
0500000US05025,05025,"Cleveland County, Arkansas",21905,1649,(X),(X)
